number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5785920925747348,2025-07-12 08:21:50.276428,2025-07-12 08:25:29.124854,0 days 00:03:38.848426,2,8,64,0.15585409000149056,0.0075400494265803605,0.00708965874897669,COMPLETE
1,0.5641272902603665,2025-07-12 08:25:29.153431,2025-07-12 08:29:44.202442,0 days 00:04:15.049011,4,16,16,0.3823635604322432,6.383347151549101e-05,0.0008044804754247862,COMPLETE
2,0.5583413693346191,2025-07-12 08:29:44.235689,2025-07-12 08:33:47.469830,0 days 00:04:03.234141,4,16,16,0.4812285674151898,5.5926671831956264e-05,9.785784039544072e-06,COMPLETE
3,0.5072324011571842,2025-07-12 08:33:47.498982,2025-07-12 08:38:46.713932,0 days 00:04:59.214950,2,16,32,0.11318305770395694,3.3266807627563015e-05,1.2519879184046434e-05,COMPLETE
4,0.43972999035679844,2025-07-12 08:38:46.737658,2025-07-12 08:42:12.087373,0 days 00:03:25.349715,2,16,16,0.3088498407883655,1.1459740973850577e-05,0.0002352607213383296,COMPLETE
5,0.5756991321118612,2025-07-12 08:42:12.110438,2025-07-12 08:46:10.529756,0 days 00:03:58.419318,2,16,64,0.29286630374138506,0.0024044665835735333,1.3112415690843973e-06,COMPLETE
6,0.25458052073288334,2025-07-12 08:46:10.553894,2025-07-12 08:46:18.992914,0 days 00:00:08.439020,4,16,32,0.30459994488842274,1.0311896940008792e-05,7.788282531617446e-05,PRUNED
7,0.5930568948891032,2025-07-12 08:46:19.010529,2025-07-12 08:53:14.829964,0 days 00:06:55.819435,8,16,32,0.15353353387896013,0.0013235653218986376,0.0003791448137361373,COMPLETE
8,0.5920925747348119,2025-07-12 08:53:14.858166,2025-07-12 08:54:29.720962,0 days 00:01:14.862796,2,8,32,0.10648526875849092,0.0006249881243311631,9.143662793800616e-06,COMPLETE
9,0.2709739633558341,2025-07-12 08:54:29.754594,2025-07-12 08:54:32.868704,0 days 00:00:03.114110,8,8,32,0.214670398929808,1.5617673613483762e-05,0.00015479884075233252,PRUNED
10,0.6277724204435873,2025-07-12 08:54:32.884995,2025-07-12 09:06:44.191595,0 days 00:12:11.306600,8,32,32,0.2112246283496452,0.00036845362750084374,0.003362495423183032,COMPLETE
11,0.6335583413693346,2025-07-12 09:06:44.216542,2025-07-12 09:19:15.521150,0 days 00:12:31.304608,8,32,32,0.2026621728298541,0.00038415470166584304,0.0040320784779631575,COMPLETE
12,0.3712632594021215,2025-07-12 09:19:15.552413,2025-07-12 09:19:33.087068,0 days 00:00:17.534655,8,32,32,0.22122701825477956,0.00021726206911554263,0.009630860128363821,PRUNED
13,0.6229508196721312,2025-07-12 09:19:33.103466,2025-07-12 09:33:12.574250,0 days 00:13:39.470784,8,32,32,0.233721562649056,0.000189002702066845,0.0017698121350015058,COMPLETE
14,0.6104146576663452,2025-07-12 09:33:12.599656,2025-07-12 09:43:02.900352,0 days 00:09:50.300696,8,32,64,0.25513607507657293,0.0005093045013935576,0.002338831351315237,COMPLETE
15,0.3857280617164899,2025-07-12 09:43:02.924684,2025-07-12 09:43:20.424662,0 days 00:00:17.499978,8,32,32,0.1769259188861873,0.0001333094536898097,0.0028183801399026495,PRUNED
16,0.5226615236258437,2025-07-12 09:43:20.441352,2025-07-12 09:46:00.302336,0 days 00:02:39.860984,8,32,32,0.36890180412523504,0.0011902867853371484,0.0008990740104881421,PRUNED
