attack,smooth,smooth_type,smooth_sigma_t,norm,muV_budget,eps_z,eps_uV_per_channel,steps,alpha,random_start,seed,clean_acc,adv_acc,ASR,median_L2_success,mean_L2_all,mean_Linf_delta,snr_db_mean,snr_db_std,clean_acc_per_class,adv_acc_per_class,frac_at_boundary,restarts,targeted,spearman_IG,roi_share_clean_IG,roi_share_adv_IG,roi_delta_share_IG,roi_spearman_IG,laterality_clean_IG,laterality_adv_IG,laterality_delta_IG,top5_clean_IG,top5_adv_IG,top5_roi_share_clean_IG,top5_roi_share_adv_IG,top5_roi_share_delta_IG,subject_id,model_name
FGSM,False,,,Linf,0.25,0.036388662857117476,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",,,False,42,0.6631944179534912,0.0243055559694767,0.9756944440305233,116.8065414428711,116.56160736083984,3.7802646160125732,2.414698362350464,0.10819172114133835,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.027777777777777776, 0.06944444444444445, 0.0]",0.0,1,False,0.9143139469226427,0.12501015035691054,0.12697570676379746,0.0019655564068869202,0.953125,-0.05527295636318578,-0.05934728019495192,-0.00407432383176614,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
FGSM,False,,,Linf,0.5,0.07277732571423495,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",,,False,42,0.6631944179534912,0.0,1.0,116.97754669189453,116.70974731445312,3.7802646160125732,2.4035065174102783,0.10651157051324844,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9143139469226427,0.12501015035691054,0.12697570676379746,0.0019655564068869202,0.953125,-0.05527295636318578,-0.05934728019495192,-0.00407432383176614,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
FGSM,False,,,Linf,1.0,0.1455546514284699,"[1.0383708477020264, 0.969852089881897, 1.0523163080215454, 1.10141921043396, 1.0654014348983765, 1.0179359912872314, 0.7814337611198425, 0.9262977242469788, 1.0063055753707886, 1.0783268213272095, 1.0329124927520752, 0.9954737424850464, 0.8990466594696045, 0.9549583792686462, 0.9839462637901306, 1.019515037536621, 1.000553011894226, 1.0067960023880005, 0.9754472970962524, 0.9984435439109802, 0.9926980137825012, 0.9994469285011292]",,,False,42,0.6631944179534912,0.0,1.0,117.53504943847656,117.29842376708984,3.7802646160125732,2.3591904640197754,0.10012627393007278,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9143139469226427,0.12501015035691054,0.12697570676379746,0.0019655564068869202,0.953125,-0.05527295636318578,-0.05934728019495192,-0.00407432383176614,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
FGSM,False,,,Linf,2.0,0.2911093028569398,"[2.0767416954040527, 1.939704179763794, 2.104632616043091, 2.20283842086792, 2.130802869796753, 2.035871982574463, 1.562867522239685, 1.8525954484939575, 2.012611150741577, 2.156653642654419, 2.0658249855041504, 1.9909474849700928, 1.798093318939209, 1.9099167585372925, 1.9678925275802612, 2.039030075073242, 2.001106023788452, 2.013592004776001, 1.9508945941925049, 1.9968870878219604, 1.9853960275650024, 1.9988938570022583]",,,False,42,0.6631944179534912,0.0,1.0,119.77212524414062,119.59003448486328,3.7802646160125732,2.1889190673828125,0.0801980122923851,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9143139469226427,0.12501015035691054,0.12697570676379746,0.0019655564068869202,0.953125,-0.05527295636318578,-0.05934728019495192,-0.00407432383176614,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
PGD,False,,,Linf,0.25,0.036388662857117476,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",40.0,0.0045485828571396845,True,42,0.6631944179534912,0.0,1.0,116.83686828613281,116.56150817871094,3.7802646160125732,2.414705991744995,0.10819315910339355,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9107583992094863,0.12501015035691054,0.12703785123046304,0.0020277008735525015,0.95703125,-0.05527295636318578,-0.06164692476636315,-0.006373968403177374,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
PGD,False,,,Linf,0.5,0.07277732571423495,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",40.0,0.009097165714279369,True,42,0.6631944179534912,0.0,1.0,116.97650909423828,116.70893096923828,3.7802646160125732,2.4035696983337402,0.10652235150337219,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9107583992094863,0.12501015035691054,0.12703785123046304,0.0020277008735525015,0.95703125,-0.05527295636318578,-0.06164692476636315,-0.006373968403177374,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
PGD,False,,,Linf,1.0,0.1455546514284699,"[1.0383708477020264, 0.969852089881897, 1.0523163080215454, 1.10141921043396, 1.0654014348983765, 1.0179359912872314, 0.7814337611198425, 0.9262977242469788, 1.0063055753707886, 1.0783268213272095, 1.0329124927520752, 0.9954737424850464, 0.8990466594696045, 0.9549583792686462, 0.9839462637901306, 1.019515037536621, 1.000553011894226, 1.0067960023880005, 0.9754472970962524, 0.9984435439109802, 0.9926980137825012, 0.9994469285011292]",40.0,0.018194331428558738,True,42,0.6631944179534912,0.0,1.0,117.52708435058594,117.29129791259766,3.7802646160125732,2.3597233295440674,0.10017316788434982,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9107583992094863,0.12501015035691054,0.12703785123046304,0.0020277008735525015,0.95703125,-0.05527295636318578,-0.06164692476636315,-0.006373968403177374,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
PGD,False,,,Linf,2.0,0.2911093028569398,"[2.0767416954040527, 1.939704179763794, 2.104632616043091, 2.20283842086792, 2.130802869796753, 2.035871982574463, 1.562867522239685, 1.8525954484939575, 2.012611150741577, 2.156653642654419, 2.0658249855041504, 1.9909474849700928, 1.798093318939209, 1.9099167585372925, 1.9678925275802612, 2.039030075073242, 2.001106023788452, 2.013592004776001, 1.9508945941925049, 1.9968870878219604, 1.9853960275650024, 1.9988938570022583]",40.0,0.036388662857117476,True,42,0.6631944179534912,0.0,1.0,119.67942810058594,119.52068328857422,3.7802646160125732,2.1939871311187744,0.08018384128808975,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9107583992094863,0.12501015035691054,0.12703785123046304,0.0020277008735525015,0.95703125,-0.05527295636318578,-0.06164692476636315,-0.006373968403177374,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",,,,1,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.25,0.036388662857117476,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",,,False,42,0.6631944179534912,0.5520833134651184,0.4479166865348816,5.55422830581665,5.551748275756836,0.03638876974582672,28.83358383178711,0.5312881469726562,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.3472222222222222, 0.5416666666666666, 0.7083333333333334, 0.6111111111111112]",0.0,1,False,0.99707968661773,0.12501015035691054,0.1252241256478896,0.00021397529097905155,0.98828125,-0.05527295636318578,-0.05635617970792069,-0.0010832233447349085,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'P1', 'CP4', 'C2']",,,,1,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.5,0.07277732571423495,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",,,False,42,0.6631944179534912,0.2222222238779068,0.7777777761220932,10.841596603393555,10.83891487121582,0.07277735322713852,23.022533416748047,0.520755410194397,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.08333333333333333, 0.2777777777777778, 0.25, 0.2777777777777778]",0.0,1,False,0.99707968661773,0.12501015035691054,0.1252241256478896,0.00021397529097905155,0.98828125,-0.05527295636318578,-0.05635617970792069,-0.0010832233447349085,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'P1', 'CP4', 'C2']",,,,1,EEGNet
